AAPL,2019-01-30T09:20:00Z,162.65,162.65,161.81,162.6
SBER,2019-01-30T09:20:00Z,214.69,214.69,214.56,214.59
AAPL,2019-01-30T09:25:00Z,162.62,162.68,161.73,162.65
SBER,2019-01-30T09:25:00Z,214.59,214.76,214.53,214.53
AAPL,2019-01-30T09:30:00Z,162.65,162.7,162.44,162.44
SBER,2019-01-30T09:30:00Z,214.53,214.53,213.61,213.72
AMZN,2019-01-30T09:30:00Z,1620,1620.2,1620,1620.2
AAPL,2019-01-30T09:35:00Z,162.51,162.88,162.51,162.51
SBER,2019-01-30T09:35:00Z,213.72,213.88,213.35,213.8
AMZN,2019-01-30T09:35:00Z,1621,1621,1621,1621
AAPL,2019-01-30T09:40:00Z,162.5,162.52,162.5,162.52
SBER,2019-01-30T09:40:00Z,213.82,213.89,213.71,213.83
AAPL,2019-01-30T09:45:00Z,162.5,162.51,162.01,162.01
SBER,2019-01-30T09:45:00Z,213.81,213.87,213.55,213.7
AAPL,2019-01-30T09:50:00Z,162.51,162.51,162.16,162.16
SBER,2019-01-30T09:50:00Z,213.62,214,213.56,213.94
AMZN,2019-01-30T09:50:00Z,1620.97,1620.97,1620.97,1620.97
AAPL,2019-01-30T09:55:00Z,162.39,162.49,161.68,162.28
SBER,2019-01-30T09:55:00Z,213.94,214.23,213.9,213.99
AAPL,2019-01-30T10:00:00Z,162.28,162.59,162.28,162.5
SBER,2019-01-30T10:00:00Z,214,214.37,213.93,214.31
AMZN,2019-01-30T10:00:00Z,1620.85,1620.85,1620.85,1620.85
AAPL,2019-01-30T10:05:00Z,162.59,162.69,162.11,162.22
SBER,2019-01-30T10:05:00Z,214.33,214.53,214.25,214.39
AAPL,2019-01-30T10:10:00Z,162.6,162.7,161.98,162.7
SBER,2019-01-30T10:10:00Z,214.46,214.55,214.13,214.23
AAPL,2019-01-30T10:15:00Z,162.7,162.88,162.1,162.17
SBER,2019-01-30T10:15:00Z,214.24,214.24,213.81,214.05
AAPL,2019-01-30T10:20:00Z,162.26,163.12,162.26,163.12
SBER,2019-01-30T10:20:00Z,214.01,214.15,213.84,213.85
AMZN,2019-01-30T10:20:00Z,1618.74,1618.74,1618.74,1618.74
AAPL,2019-01-30T10:25:00Z,162.94,163.2,162.94,163.04
SBER,2019-01-30T10:25:00Z,213.82,213.86,213.65,213.73
AMZN,2019-01-30T10:25:00Z,1618.88,1618.94,1618.88,1618.94
AAPL,2019-01-30T10:30:00Z,163.04,163.35,163.04,163.06
SBER,2019-01-30T10:30:00Z,213.8,213.85,213.65,213.79
AMZN,2019-01-30T10:30:00Z,1619.12,1619.12,1619.12,1619.12
AAPL,2019-01-30T10:35:00Z,163.38,163.38,163.12,163.12
SBER,2019-01-30T10:35:00Z,213.75,213.85,213.7,213.75
AAPL,2019-01-30T10:40:00Z,163.4,163.64,163.4,163.62
SBER,2019-01-30T10:40:00Z,213.71,214,213.7,213.97
AAPL,2019-01-30T10:45:00Z,163.61,163.61,163.55,163.59
SBER,2019-01-30T10:45:00Z,213.94,213.95,213.75,213.75
AAPL,2019-01-30T10:50:00Z,163.4,163.58,163.3,163.39
SBER,2019-01-30T10:50:00Z,213.83,214,213.77,213.98
AMZN,2019-01-30T10:50:00Z,1619.89,1619.89,1619.89,1619.89
AAPL,2019-01-30T10:55:00Z,163.36,163.47,163.27,163.27
SBER,2019-01-30T10:55:00Z,213.9,214.3,213.89,214.23
AAPL,2019-01-30T11:00:00Z,163.4,163.41,163.3,163.41
SBER,2019-01-30T11:00:00Z,214.23,214.27,213.84,213.91
AAPL,2019-01-30T11:05:00Z,163.4,163.46,163.34,163.38
SBER,2019-01-30T11:05:00Z,213.89,214.11,213.8,213.88
AMZN,2019-01-30T11:05:00Z,1620.95,1620.95,1620.95,1620.95
AAPL,2019-01-30T11:10:00Z,163.27,163.27,163.13,163.13
SBER,2019-01-30T11:10:00Z,213.93,214.54,213.83,214.5
AAPL,2019-01-30T11:15:00Z,163.13,163.25,163.08,163.25
SBER,2019-01-30T11:15:00Z,214.5,214.84,214.36,214.81
AAPL,2019-01-30T11:20:00Z,163.03,163.13,163.01,163.01
SBER,2019-01-30T11:20:00Z,214.8,214.83,214.45,214.62
AAPL,2019-01-30T11:25:00Z,163.07,163.1,163.02,163.02
SBER,2019-01-30T11:25:00Z,214.61,214.84,214.6,214.79
